is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp.1,subject,year,month,Day,Quarter,Profit,Duration_Category,Price_category,course_title_cleaned
TRUE,85,608,88,48,All Levels,3.5,2014-11-21 09:09:23+00:00,Web Development,2014,November,Friday,4,51680,7:12:00,55:100,Getting Started with Magento
TRUE,85,538,13,113,All Levels,18.5,2017-04-27 21:06:16+00:00,Web Development,2017,April,Thursday,2,45730,20,55:100,The All-In-One Web Development Course
TRUE,85,452,5,23,All Levels,4.5,2016-08-29 18:53:27+00:00,Musical Instruments,2016,August,Monday,3,38420,12:20:00,55:100,Make Your Own Ukulele
TRUE,85,384,25,98,Beginner Level,10.5,2013-06-10 14:49:09+00:00,Musical Instruments,2013,June,Monday,2,32640,20,55:100,Beginners Guide to Playing Guitar - Step-by-step System
TRUE,85,228,26,215,Beginner Level,10.5,2014-06-30 12:29:38+00:00,Musical Instruments,2014,June,Monday,2,19380,20,55:100,Super-Curso de Guitarra PrÃ¡ctico Para Principiantes
TRUE,85,197,26,28,Beginner Level,3.5,2016-12-22 00:11:22+00:00,Web Development,2016,December,Thursday,4,16745,7:12:00,55:100,Introduction to QGIS Python Programming
TRUE,85,167,14,30,All Levels,2.5,2014-10-24 12:26:37+00:00,Graphic Design,2014,October,Friday,4,14195,7:12:00,55:100,OpenCV Computer Vision Application Programming 
TRUE,85,150,28,19,All Levels,2.5,2017-01-20 14:57:34+00:00,Business Finance,2017,January,Friday,1,12750,7:12:00,55:100,Aprenda a Investir seu Dinheiro
TRUE,85,113,5,39,Intermediate Level,4.5,2016-01-12 21:37:39+00:00,Graphic Design,2016,January,Tuesday,1,9605,12:20:00,55:100,Photoshopã€€ä¸­ç´šè€…ã€ä¸Šç´šè€…ãŒãƒ—ãƒ­ã«ãªã‚‹ãŸã‚ã«æœ€å¾Œã«å­¦ã¶ã€Œè¶…çµ¶æŠ€å·§ã€ãƒ†ã‚¯ãƒ‹ãƒƒã‚¯
TRUE,85,105,4,41,All Levels,2,2015-01-21 07:26:49+00:00,Graphic Design,2015,January,Wednesday,1,8925,3:07:00,55:100,R Graph Essentials
TRUE,85,38,12,83,All Levels,5,2017-05-02 18:05:23+00:00,Musical Instruments,2017,May,Tuesday,2,3230,12:20:00,55:100,Sintetizadores e SÃ­ntese Subtrativa
TRUE,85,31,5,40,All Levels,10.5,2015-11-26 05:26:14+00:00,Business Finance,2015,November,Thursday,4,2635,20,55:100,Curso de IniciaciÃ³n al Trading
TRUE,85,29,3,24,All Levels,0.65,2016-11-28 17:50:49+00:00,Business Finance,2016,November,Monday,4,2465,0:01:00,55:100,ãƒã‚¤ãƒŠãƒªãƒ¼ã‚ªãƒ—ã‚·ãƒ§ãƒ³å–å¼•
TRUE,85,26,1,17,Beginner Level,2,2016-05-17 19:10:41+00:00,Business Finance,2016,May,Tuesday,2,2210,3:07:00,55:100,Introduction to Health Financing
TRUE,85,25,2,30,Beginner Level,2.5,2017-03-03 18:54:28+00:00,Musical Instruments,2017,March,Friday,1,2125,7:12:00,55:100,ABC DO VIOLÃƒO E GUITARRA
TRUE,85,22,5,47,Beginner Level,5,2017-05-18 22:31:23+00:00,Business Finance,2017,May,Thursday,2,1870,12:20:00,55:100,Excelã‚’ä½¿ã£ã¦ãƒ“ã‚¸ãƒã‚¹ã‚·ãƒŸãƒ¥ãƒ¬ãƒ¼ã‚·ãƒ§ãƒ³ï¼šåŸºç¤Žç·¨
TRUE,90,10394,33,34,Beginner Level,3.5,2015-08-21 18:53:23+00:00,Web Development,2015,August,Friday,3,935460,7:12:00,55:100,Core HTML How to get online quickly HTML to HTML 
TRUE,90,7789,59,23,Beginner Level,1.5,2015-10-01 17:43:34+00:00,Web Development,2015,October,Thursday,4,701010,1:03:00,55:100,JavaScript Introduction to Object Oriented JavaScript
TRUE,90,4957,634,60,All Levels,5.5,2014-10-27 07:29:00+00:00,Web Development,2014,October,Monday,4,446130,12:20:00,55:100,Backbone Tutorial: Learn Backbonejs from Scratch
TRUE,90,4022,35,14,Expert Level,1,2016-12-15 15:49:13+00:00,Business Finance,2016,December,Thursday,4,361980,0:01:00,55:100,Elliott Wave -Forex Trading With The Elliott Wave Theory
TRUE,90,3073,27,13,Beginner Level,1.5,2017-01-18 22:48:53+00:00,Web Development,2017,January,Wednesday,1,276570,1:03:00,55:100,"Earn Big Profits With Web Development, Simple and Easy!"
TRUE,90,2338,224,5,All Levels,1.5,2013-04-17 19:33:22+00:00,Business Finance,2013,April,Wednesday,2,210420,1:03:00,55:100,Business Analysis:  Working with Use Cases
TRUE,90,1905,12,14,All Levels,0.733333333,2016-12-09 04:41:48+00:00,Graphic Design,2016,December,Friday,4,171450,0:01:00,55:100,Clipping Masks & Shaped images in Adobe Photoshop CC
TRUE,90,1822,4,25,All Levels,2,2017-06-05 17:43:55+00:00,Web Development,2017,June,Monday,2,163980,3:07:00,55:100,Learn how to use Javascript Components with PHP and Symfony
TRUE,90,1538,117,74,All Levels,7.5,2017-02-06 23:07:33+00:00,Graphic Design,2017,February,Monday,1,138420,20,55:100,Adobe Illustrator Advanced Vector Artwork
TRUE,90,1526,72,86,All Levels,6.5,2015-05-26 00:00:59+00:00,Web Development,2015,May,Tuesday,2,137340,20,55:100,HTML Geolocation in Depth:Build  HTML Geolocation Apps
TRUE,90,778,2,24,All Levels,1.5,2017-04-04 15:04:21+00:00,Graphic Design,2017,April,Tuesday,2,70020,1:03:00,55:100,The Art of Icon Design: Create Custom Flat Icon Designs
TRUE,90,655,18,150,Beginner Level,3.5,2017-04-25 17:12:10+00:00,Graphic Design,2017,April,Tuesday,2,58950,7:12:00,55:100,Photoshop CC  Full Course
TRUE,90,564,9,41,All Levels,3.5,2014-05-01 20:37:45+00:00,Business Finance,2014,May,Thursday,2,50760,7:12:00,55:100,How to Copy the Best Traders on Etoro
TRUE,90,85,22,20,Beginner Level,2,2016-08-21 18:50:26+00:00,Musical Instruments,2016,August,Sunday,3,7650,3:07:00,55:100,Aprenda a tocar Pandeiro - Curso Iniciante - Samba/Choro
TRUE,90,57,11,23,Beginner Level,2,2017-03-31 22:44:53+00:00,Business Finance,2017,March,Friday,1,5130,3:07:00,55:100,Trading Forex - Trader avec les figures harmoniques
